activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,variable_ids,start_year,end_year
LOCA2,UCSD,CESM2-LENS,historical,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,CESM2-LENS,historical,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,CESM2-LENS,historical,r6i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,CESM2-LENS,historical,r7i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,CESM2-LENS,historical,r8i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,CESM2-LENS,historical,r9i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,CESM2-LENS,historical,r10i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,CESM2-LENS,ssp370,r4i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,CESM2-LENS,ssp370,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,CESM2-LENS,ssp370,r6i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,CESM2-LENS,ssp370,r7i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,CESM2-LENS,ssp370,r8i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,CESM2-LENS,ssp370,r9i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,CESM2-LENS,ssp370,r10i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,EC-Earth3,historical,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,EC-Earth3,historical,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,EC-Earth3,ssp245,r2i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,EC-Earth3,ssp585,r3i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,EC-Earth3-Veg,historical,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,EC-Earth3-Veg,ssp245,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
LOCA2,UCSD,FGOALS-g3,historical,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",1950,2014
LOCA2,UCSD,FGOALS-g3,ssp370,r5i1p1f1,day,d03,"""pr,tasmax,tasmin""",2015,2100
